nodenumber,    x-coordinate,    y-coordinate,        pressure,      x-velocity,      y-velocity
      3182, 8.200017978E-03,-5.599984442E-03, 1.513863934E+00,-1.860676808E-02,-3.850711122E-02
      3183, 8.300006715E-03,-5.499989698E-03, 1.525174334E+00,-1.793618503E-02,-4.018658756E-02
      3184, 8.400002109E-03,-5.399994121E-03, 1.538062969E+00,-1.727584569E-02,-4.193578278E-02
      3185, 8.500000392E-03,-5.299997850E-03, 1.552428137E+00,-1.661442975E-02,-4.373949127E-02
      3186, 8.600000115E-03,-5.199998505E-03, 1.568132966E+00,-1.593711223E-02,-4.556807899E-02
      3187, 8.600000002E-03,-5.099999510E-03, 1.548188216E+00,-1.514384164E-02,-4.542658938E-02
      3188, 7.300000000E-03,-3.700000000E-03, 1.205673721E+00, 1.124263222E-03,-1.980195215E-02
      3189, 7.400000000E-03,-3.800000000E-03, 1.216602650E+00,-1.128210002E-04,-2.123763130E-02
      3190, 7.500000000E-03,-3.900000000E-03, 1.228957329E+00,-1.307803963E-03,-2.267038995E-02
      3191, 7.600000000E-03,-4.000000000E-03, 1.242807898E+00,-2.462471843E-03,-2.410394616E-02
      3192, 7.700000000E-03,-4.100000000E-03, 1.258256664E+00,-3.582284712E-03,-2.555059800E-02
      3193, 7.800000000E-03,-4.200000000E-03, 1.275456721E+00,-4.677792290E-03,-2.703494805E-02
      3194, 7.900000000E-03,-4.300000000E-03, 1.294638346E+00,-5.765681512E-03,-2.859711245E-02
      3195, 8.000000000E-03,-4.400000000E-03, 1.316141765E+00,-6.868588747E-03,-3.029346933E-02
      3196, 8.100000000E-03,-4.500000000E-03, 1.340451077E+00,-8.012446982E-03,-3.219194444E-02
      3197, 8.200000000E-03,-4.599999999E-03, 1.368217262E+00,-9.220040099E-03,-3.435817975E-02
      3198, 8.300000000E-03,-4.699999995E-03, 1.400247829E+00,-1.049995508E-02,-3.682956983E-02
      3199, 8.400000000E-03,-4.799999987E-03, 1.437428250E+00,-1.183167437E-02,-3.957726736E-02
      3200, 8.499999998E-03,-4.899999959E-03, 1.480529264E+00,-1.315015730E-02,-4.246257595E-02
      3201, 8.599999999E-03,-4.999999727E-03, 1.529885817E+00,-1.433663701E-02,-4.520313896E-02
      3202, 7.700496880E-03,-6.199892177E-03, 1.510694736E+00,-2.345138928E-02,-3.149593017E-02
      3203, 7.800438015E-03,-6.099910630E-03, 1.512444099E+00,-2.263611752E-02,-3.284773218E-02
      3204, 7.900308951E-03,-5.999931414E-03, 1.516063781E+00,-2.184541175E-02,-3.424884309E-02
      3205, 8.000175832E-03,-5.899948912E-03, 1.521523814E+00,-2.107837396E-02,-3.570625931E-02
      3206, 8.100080440E-03,-5.799964840E-03, 1.528788208E+00,-2.033289618E-02,-3.722547011E-02
      3207, 8.200034863E-03,-5.699976070E-03, 1.537807661E+00,-1.960513740E-02,-3.880897477E-02
      3208, 8.300014656E-03,-5.599983356E-03, 1.548508688E+00,-1.888900439E-02,-4.045429706E-02
      3209, 8.400005563E-03,-5.499988725E-03, 1.560797107E+00,-1.817568650E-02,-4.215232149E-02
      3210, 8.500001608E-03,-5.399994360E-03, 1.574563667E+00,-1.745357174E-02,-4.388366279E-02
      3211, 8.600000384E-03,-5.299997159E-03, 1.589607730E+00,-1.670607628E-02,-4.561319288E-02
      3212, 8.700000295E-03,-5.199997584E-03, 1.605722007E+00,-1.591648269E-02,-4.728590644E-02
      3213, 8.700000051E-03,-5.099999066E-03, 1.584944035E+00,-1.522333610E-02,-4.736914555E-02
      3214, 7.400000000E-03,-3.700000000E-03, 1.224377043E+00, 7.776284532E-04,-2.089728609E-02
      3215, 7.500000000E-03,-3.800000000E-03, 1.235530546E+00,-4.463947670E-04,-2.234362215E-02
      3216, 7.600000000E-03,-3.900000000E-03, 1.248090605E+00,-1.627844117E-03,-2.379027211E-02
      3217, 7.700000000E-03,-4.000000000E-03, 1.262153512E+00,-2.770722156E-03,-2.524685040E-02
      3218, 7.800000000E-03,-4.100000000E-03, 1.277860473E+00,-3.883635010E-03,-2.673436972E-02
      3219, 7.900000000E-03,-4.200000000E-03, 1.295421231E+00,-4.981022612E-03,-2.828885780E-02
      3220, 8.000000000E-03,-4.300000000E-03, 1.315144847E+00,-6.083478294E-03,-2.996319708E-02
      3221, 8.100000000E-03,-4.400000000E-03, 1.337473959E+00,-7.216026307E-03,-3.182441410E-02
      3222, 8.200000000E-03,-4.500000000E-03, 1.363013077E+00,-8.403003408E-03,-3.394274333E-02
      3223, 8.300000000E-03,-4.599999998E-03, 1.392532264E+00,-9.658480054E-03,-3.636890115E-02
